"ticket_no","name","ticket_title","description_plain","comments","solution"
T029768,iApp,Re: **SPAM**  Re: spectra probleamRe: **SPAM**  Re: spectra probleam,"Dear Team,

After logging into the Spectra software, the user is automatically logged out shortly afterwards. Please look into this issue as soon as possible.","Dear Akshkumar,

As per discussion with Mobin, we have connected remotely and resolved your iApp login issue.

Kindly check from your side, and if you face any further issues, please inform us.","Dear Akshkumar,

As per discussion with Mobin, we have connected remotely and resolved your iApp login issue.

Kindly check from your side, and if you face any further issues, please inform us."
T029769,iApp,Gateway Error in Machine (3S Petfood paonta),Gateway Error in Machine (3S Petfood paonta),Assigned to Milan,We have informed to connect laptop to device using cross cable and changed N/w parameter
T029769,iApp,Gateway Error in Machine (3S Petfood paonta),Gateway Error in Machine (3S Petfood paonta),We have informed to connect laptop to device using cross cable and changed N/w parameter ,We have informed to connect laptop to device using cross cable and changed N/w parameter
T029770,iApp,All location data not download,All location data not download,Assigned to Milan,We have restarted server system and restart spectra worker to resolved this issue 
T029770,iApp,All location data not download,All location data not download,We have restarted server system and restart spectra worker to resolved this issue ,We have restarted server system and restart spectra worker to resolved this issue 
T029771,iApp, iApp login credentials, iApp login credentials,As discussed they want AMC quotation for client so we looped to AMC team.,As discussed they want AMC quotation for client so we looped to AMC team.
T029771,iApp, iApp login credentials, iApp login credentials,"Requesting to contact our AMC department on below contact detail to take up AMC-related process for hassle-free support.

Contact Name: Rahul Maheshwari

Contact Number: 75749 39541 (maheshwari.rahul@spectra-vision.com)",As discussed they want AMC quotation for client so we looped to AMC team.
T029772,,Attendance data issue and visitor managemnet issue.,"Dear Team, We are facing with issue’s as mentioned below. While we are generating the report for attendance data is not showing and the camera feature in our Visitor Management System is not connecting. The system does not detect the camera or fails to initiate it when required. Thanks &","As per our discussion, we will connect tomorrow on meet to resolve the issue.",The reported issue has been resolved.
T029772,,Attendance data issue and visitor managemnet issue.,"Dear Team, We are facing with issue’s as mentioned below. While we are generating the report for attendance data is not showing and the camera feature in our Visitor Management System is not connecting. The system does not detect the camera or fails to initiate it when required. Thanks &","As per our discussion, we will connect tomorrow on meet to resolve the issue.",The reported issue has been resolved.
T029772,,Attendance data issue and visitor managemnet issue.,"Dear Team, We are facing with issue’s as mentioned below. While we are generating the report for attendance data is not showing and the camera feature in our Visitor Management System is not connecting. The system does not detect the camera or fails to initiate it when required. Thanks &","As per our discussion, the Retransmission option in the Face Portal is currently disabled.
We recommend enabling this option with immediate effect to avoid any potential data loss.

Kindly confirm so that we can proceed with enabling it.

Regarding the punch data download issue, we will attempt to recover the missing punch data.",The reported issue has been resolved.
T029772,,Attendance data issue and visitor managemnet issue.,"Dear Team, We are facing with issue’s as mentioned below. While we are generating the report for attendance data is not showing and the camera feature in our Visitor Management System is not connecting. The system does not detect the camera or fails to initiate it when required. Thanks &","As per our discussion, the Retransmission option in the Face Portal is currently disabled.
We recommend enabling this option with immediate effect to avoid any potential data loss.

Kindly confirm so that we can proceed with enabling it.

Regarding the punch data download issue, we will attempt to recover the missing punch data.",The reported issue has been resolved.
T029772,,Attendance data issue and visitor managemnet issue.,"Dear Team, We are facing with issue’s as mentioned below. While we are generating the report for attendance data is not showing and the camera feature in our Visitor Management System is not connecting. The system does not detect the camera or fails to initiate it when required. Thanks &","As per our discussion, the Retransmission option in the Face Portal is currently disabled.

We recommend enabling this option with immediate effect to avoid any potential data loss.

Please note that there is a chance of data loss when enabling the option.

Kindly confirm so that we can proceed.

Regarding the punch data download issue, we will attempt to recover the missing punch data.",The reported issue has been resolved.
T029772,,Attendance data issue and visitor managemnet issue.,"Dear Team, We are facing with issue’s as mentioned below. While we are generating the report for attendance data is not showing and the camera feature in our Visitor Management System is not connecting. The system does not detect the camera or fails to initiate it when required. Thanks &","As discussed during the remote session, we have enabled the retransmission option with your permission.

We also performed a live punch attempt, but encountered a ""User Not Found"" error.

We had requested remote access to the server, but unfortunately, it couldn’t be provided at the time. You mentioned that access would be shared by tomorrow.

We can’t move forward or confirm anything without checking the server system.

There is a high chance of data loss.

Kindly provide remote access at your earliest convenience so we can continue with further resolution.",The reported issue has been resolved.
T029772,,Attendance data issue and visitor managemnet issue.,"Dear Team, We are facing with issue’s as mentioned below. While we are generating the report for attendance data is not showing and the camera feature in our Visitor Management System is not connecting. The system does not detect the camera or fails to initiate it when required. Thanks &","As discussed during the remote session, we have enabled the retransmission option with your permission.

We also performed a live punch attempt, but encountered a ""User Not Found"" error.

We had requested remote access to the server, but unfortunately, it couldn’t be provided at the time. You mentioned that access would be shared by tomorrow.

We can’t move forward or confirm anything without checking the server system.

There is a high chance of data loss.

Kindly provide remote access at your earliest convenience so we can continue with further resolution.",The reported issue has been resolved.
T029772,,Attendance data issue and visitor managemnet issue.,"Dear Team, We are facing with issue’s as mentioned below. While we are generating the report for attendance data is not showing and the camera feature in our Visitor Management System is not connecting. The system does not detect the camera or fails to initiate it when required. Thanks &","We have successfully updated the latest version of iApp on the system.

We tried our best, and all past data has been successfully recovered in iApp. 

Employees can now punch on the device, and the data will reflect in the system as expected.

The reported issue has been resolved.

Kindly confirm from your end.",The reported issue has been resolved.
T029772,,Attendance data issue and visitor managemnet issue.,"Dear Team, We are facing with issue’s as mentioned below. While we are generating the report for attendance data is not showing and the camera feature in our Visitor Management System is not connecting. The system does not detect the camera or fails to initiate it when required. Thanks &","We have successfully updated the latest version of iApp on the system.
We tried our best, and all past data has been successfully recovered and is now visible in iApp.
Employees can now punch on the device, and the data will reflect in the system as expected.
The reported issue has been resolved.
Kindly confirm from your end.",The reported issue has been resolved.
T029772,,Attendance data issue and visitor managemnet issue.,"Dear Team, We are facing with issue’s as mentioned below. While we are generating the report for attendance data is not showing and the camera feature in our Visitor Management System is not connecting. The system does not detect the camera or fails to initiate it when required. Thanks &",The reported issue has been resolved.,The reported issue has been resolved.
T029774,iApp,Attendance  not showing,"Dear Team, Kindly check at your end Sikkim plant attendance record is not showing in today Bio matric as well as face readers please resolve the issue ASAP. Thanks &",Assigned to Milan sir ,We have restarted server system and restart spectra worker to resolved this issue 
T029774,iApp,Attendance  not showing,"Dear Team, Kindly check at your end Sikkim plant attendance record is not showing in today Bio matric as well as face readers please resolve the issue ASAP. Thanks &",Ticket Details Changed,We have restarted server system and restart spectra worker to resolved this issue 
T029774,iApp,Attendance  not showing,"Dear Team, Kindly check at your end Sikkim plant attendance record is not showing in today Bio matric as well as face readers please resolve the issue ASAP. Thanks &",Assigned to Milan Sir ,We have restarted server system and restart spectra worker to resolved this issue 
T029774,iApp,Attendance  not showing,"Dear Team, Kindly check at your end Sikkim plant attendance record is not showing in today Bio matric as well as face readers please resolve the issue ASAP. Thanks &",We have restarted server system and restart spectra worker to resolved this issue ,We have restarted server system and restart spectra worker to resolved this issue 
T029775,,FW: Perfios Issue,++++ Looping rahul Please do the needful on priority.,"duplicate ticket :- T029764
","duplicate ticket :- T029764
"
